payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
1.02;3.5;8;ag19;3.876028561;5.535348215;100;0.627756432;2450.188362;170;848.3195028;765.6838631;54.66666667;0;1.05;0;681.8011781;681.8011781;1.53125;25.31283958
1.02;3.5;10;ag19;3.558902478;4.527575508;100;0.637461609;2559.253157;170;861.4346073;799.7666115;54.66666667;0;1.05;0;698.3204266;698.3204266;1.225;29.05226513
1.02;3;8;ag19;3.371585043;5.472478284;100;0.631856664;2593.72817;170;853.8603564;810.5400531;54.66666667;0;1.05;0;699.4401433;699.4401433;1.125;29.96964483
2.55;3;8;ag19;5.044429254;13.22631753;73.32463443;0.604383844;1936.948094;425;816.734924;605.2962792;54.66666667;0;1.05;0;703.8609211;703.8609211;1.125;44.83937114
1.53;3.5;8;ag19;4.436248561;7.665291722;85.93568494;0.611283241;2455.667789;255;826.058434;767.3961841;54.66666667;0;1.05;0;704.3591163;704.3591163;1.53125;28.97141917
1.02;3.5;12;ag19;3.382622634;7.149057494;100;0.645154489;2636.453612;170;871.8303899;823.8917539;54.66666667;0;1.05;0;710.4027503;710.4027503;1.020833333;33.13589519
1.02;3;10;ag19;3.153683295;6.074263096;100;0.638169778;2688.362678;170;862.3915913;840.1133368;54.66666667;0;1.05;0;712.7767248;712.7767248;0.9;35.0409255
3.06;3;8;ag19;5.611517675;19.87834012;61.52209474;0.564028757;1929.070597;510;762.2010229;602.8345614;54.66666667;0;1.05;0;713.6624545;713.6624545;1.125;49.88015711
1.02;2.5;8;ag19;2.959356912;4.603824251;100;0.634221246;2740.663577;170;857.0557379;856.4573677;54.66666667;0;1.05;0;716.629587;716.629587;0.78125;37.87976847
2.04;3.5;16;ag19;5.843880055;49.56047987;46.60105379;0.585792488;2784.058014;340;791.6114697;870.0181295;54.66666667;0;1;0;721.8765331;721.8765331;0.765625;76.32822928
2.04;3.5;8;ag19;5.004758035;9.270960531;74.46589406;0.590474931;2452.558291;340;797.9390959;766.424466;54.66666667;0;1.05;0;723.9272467;723.9272467;1.53125;32.6841341
1.02;3.5;14;ag19;3.313800338;7.337437039;100;0.657897756;2751.173514;170;889.0510215;859.7417231;54.66666667;0;1.05;0;728.9774606;728.9774606;0.875;37.87200387
1.02;3;12;ag19;3.048039403;6.337356217;100;0.65306237;2808.398403;170;882.5167162;877.6245008;54.66666667;0;1.05;0;732.949426;732.949426;0.75;40.64052537
2.04;3;16;ag19;5.140858475;45.8768357;60.77484108;0.589330506;2885.813623;340;796.3925754;901.8167572;54.66666667;0;1;0;734.0697775;734.0697775;0.5625;91.39303955
2.55;3.5;8;ag19;5.568293824;12.27053806;64.01817322;0.553618532;2444.869045;425;748.1331508;764.0215766;54.66666667;0;1.05;0;735.4041546;735.4041546;1.53125;36.36436783
1.02;2.5;10;ag19;2.810225144;7.600272503;100;0.645086668;2868.25817;170;871.7387405;896.3306781;54.66666667;0;1.05;0;735.7242965;735.7242965;0.625;44.9636023
1.02;3.5;16;ag19;3.325834791;9.737243687;100;0.668556066;2793.781025;170;903.4541432;873.0565704;54.66666667;0;1.05;0;738.6787498;738.6787498;0.765625;43.43947483
1.53;3.5;10;ag19;4.127411952;6.834617947;95.84637315;0.659909766;2566.845625;255;891.7699535;802.1392577;54.66666667;0;1.05;0;739.5182239;739.5182239;1.225;33.69315879
1.02;2;8;ag19;2.615041608;5.743982249;100;0.642074679;2932.000301;170;867.6684851;916.2500939;54.66666667;0;1.05;0;741.2715026;741.2715026;0.5;52.30083216
1.02;3;14;ag19;3.009045147;9.095890281;100;0.662459642;2857.526063;170;895.2157322;892.9768947;54.66666667;0;1.05;0;742.7674194;742.7674194;0.642857143;46.80736895
3.06;3.5;8;ag19;6.136803298;18.22132662;53.37063778;0.512437405;2434.338223;510;692.4829799;760.7306947;54.66666667;0;1.05;0;744.5247861;744.5247861;1.53125;40.07708276
1.53;3;8;ag19;3.938673464;6.08537397;100;0.665010738;2596.227557;255;898.6631596;811.3211115;54.66666667;0;1.05;0;745.1444949;745.1444949;1.125;35.01043079
